"1161312724 CANADA INC. (SUPER MARCHÉ WAWAA)","RMI 0000945780000  969740004","DÉTAILS PROVENANT DU SYSTÈME DE GESTION DES RÉCLAMATIONS","PAIEMENT D'UNE INDEMNITÉ POUR LE DOSSIER 13-003389, SUR LA LISTE DE PAIEMENT 1401IC011 (CORPO)","SERVICE DES AFFAIRES JURIDIQUES ET DE L’ÉVALUATION FONCIÈRE","AUTRES - ADMINISTRATION GÉNÉRALE","3 500 $ "
"2685248 CANADA INC.","953538","GAGNON, LYNN","(PIERRE LARAMEE) MANDAT DE CONSEILS, DE RECHERCHE ET DE DÉVELOPPEMENT DE PRODUITS À ÊTRE OFFERTS COMME CADEAUX PAR LE MAIRE DE MONTRÉAL","DIRECTION GÉNÉRALE","CONSEIL ET SOUTIEN AUX INSTANCES POLITIQUES","3 319 $ "
"2685248 CANADA INC.","945480","SHOIRY, NANCY","CONTRAT DE SERVICES PROFESSIONNELS . EFFECTUER DE LA RÉDACTION DE NATURE PROMOTIONNELLE.","SERVICE DE LA MISE EN VALEUR DU TERRITOIRE","INDUSTRIES ET COMMERCES - PROM. ET DÉV.ÉCON.","4 494 $ "
"2685248 CANADA INC.","956079","DUCAS, SYLVAIN","TRAVAIL DE RECHERCHE ET DE PRÉPARATION EN VUE D'ASSURER LE COMMISSARIAT ET L'ORGANISATION DE L'EXPOSITION CODE SOUVENIR MONTRÉAL À GRAZ 2015.","SERVICE DE LA MISE EN VALEUR DU TERRITOIRE","INDUSTRIES ET COMMERCES - PROM. ET DÉV.ÉCON.","3 588 $ "
"2685248 CANADA INC.","956079","SHOIRY, NANCY","TRAVAIL DE RECHERCHE ET DE PRÉPARATION EN VUE D'ASSURER LE COMMISSARIAT ET L'ORGANISATION DE L¿EXPOSITION CODE SOUVENIR MONTRÉAL À GRAZ 2015.","SERVICE DE LA MISE EN VALEUR DU TERRITOIRE","INDUSTRIES ET COMMERCES - PROM. ET DÉV.ÉCON.","2 105 $ "
"2685248 CANADA INC.","945877","LANGLOIS, PAUL","RC 12-2.6.1-050 MOD ET 13-2.6.1-114 / RÉDACTION DE NATURE PROMOTIONNELLE DANS LE CADRE DES PROJETS DU BUREAU DU DESIGN.","SERVICE DE LA QUALITÉ DE VIE","BIENS PATRIMONIAUX","8 989 $ "
"2685248 CANADA INC.","195","LAPOINTE, JULIE","REF #385, RÉDACTION BROCHURE ANNUELLE 2014","SERVICE DE L'ESPACE POUR LA VIE","MUSÉES ET CENTRES D'EXPOSITION","2 243 $ "
"3M CANADA","891695","LALONDE, HELENE","INVENTAIRE PIÈCES DE REMPLACEMENT POUR LES MAGASINS SCARM.","SERVICE DE CONCERTATION DES ARRONDISSEMENTS ET DES RESSOURCES MATÉRIELLES","COMMUNICATION ET MARKETING","4 197 $ "
"3M CANADA","899723","SIOUDA, ABDELHAK","INVENTAIRE PIÈCES DE REMPLACEMENT, POUR LES MAGASINS SCARM.","SERVICE DE CONCERTATION DES ARRONDISSEMENTS ET DES RESSOURCES MATÉRIELLES","COMMUNICATION ET MARKETING","3 562 $ "
"3M CANADA","ROS726234","BRANCONNIER, SERGE","MATÉRIEL POUR FABRICATION POUR SÉRIGRAPHIE","SERVICE DE CONCERTATION DES ARRONDISSEMENTS ET DES RESSOURCES MATÉRIELLES","SOUT. MAT. ET TECH. - GESTION DES VÉHICULES ET ATELIERS - À RÉPARTIR","3 741 $ "
"3M CANADA","906513","SIOUDA, ABDELHAK","INVENTAIRE PIÈCES DE REMPLACEMENT, POUR LES MAGASINS SCARM","SERVICE DE CONCERTATION DES ARRONDISSEMENTS ET DES RESSOURCES MATÉRIELLES","COMMUNICATION ET MARKETING","9 429 $ "
"3M CANADA","912871","SIOUDA, ABDELHAK","INVENTAIRE PIÈCES DE REMPLACEMENT, POUR LES MAGASINS SCARM","SERVICE DE CONCERTATION DES ARRONDISSEMENTS ET DES RESSOURCES MATÉRIELLES","COMMUNICATION ET MARKETING","3 210 $ "
"3M CANADA","891551","RAYMOND, BRIGITTE","ACHAT DE BANDES MAGNÉTIQUES.","SERVICE DE LA QUALITÉ DE VIE","BIBLIOTHÈQUES","8 138 $ "
"3M CANADA","959160","MASSE, CAROLINE","INVENTAIRE PIÈCES DE REMPLACEMENT, POUR LES MAGASINS ","SERVICE DE L'APPROVISIONNEMENT","COMMUNICATION ET MARKETING","3 164 $ "
"3M CANADA","981961","MASSE, CAROLINE","INVENTAIRE PIÈCES DE REMPLACEMENT, POUR LES MAGASINS SCARM","SERVICE DE L'APPROVISIONNEMENT","COMMUNICATION ET MARKETING","4 625 $ "
"3M CANADA .","927784","JOLY, LINDA","INVENTAIRE PIÈCES DE REMPLACEMENT, POUR LES MAGASINS SCARM","SERVICE DE CONCERTATION DES ARRONDISSEMENTS ET DES RESSOURCES MATÉRIELLES","COMMUNICATION ET MARKETING","4 300 $ "
"3M CANADA .","931053","JOLY, LINDA","INVENTAIRE PIÈCES DE REMPLACEMENT, POUR LES MAGASINS SCARM","SERVICE DE CONCERTATION DES ARRONDISSEMENTS ET DES RESSOURCES MATÉRIELLES","COMMUNICATION ET MARKETING","7 915 $ "
"3M CANADA .","941460","MASSE, CAROLINE","INVENTAIRE PIÈCES DE REMPLACEMENT, POUR LES MAGASINS SCARM","SERVICE DE CONCERTATION DES ARRONDISSEMENTS ET DES RESSOURCES MATÉRIELLES","COMMUNICATION ET MARKETING","5 441 $ "
"3M CANADA .","943729","CHRETIEN, NORMAND","INVENTAIRE PIÈCES DE REMPLACEMENT, POUR LES MAGASINS SCARM","SERVICE DE CONCERTATION DES ARRONDISSEMENTS ET DES RESSOURCES MATÉRIELLES","COMMUNICATION ET MARKETING","19 788 $ "
"3M CANADA .","927266","CLAVEAU, MICHEL","ACHAT DE BANDES MAGNÉTIQUES","SERVICE DE LA QUALITÉ DE VIE","BIBLIOTHÈQUES","4 231 $ "
"3M CANADA .","934751","CLAVEAU, MICHEL","ACHAT DE BANDE MAGNÉTIQUE","SERVICE DE LA QUALITÉ DE VIE","BIBLIOTHÈQUES","4 231 $ "
"3M CANADA .","911116","CLAVEAU, MICHEL","ACHAT DE BANDES MAGNÉTIQUES","SERVICE DE LA QUALITÉ DE VIE","BIBLIOTHÈQUES","2 904 $ "
"3M CANADA .","955456","MASSE, CAROLINE","INVENTAIRE PIÈCES DE REMPLACEMENT, POUR LES MAGASINS DU SERVICE DE L'APPROVISIONNEMENT","SERVICE DE L'APPROVISIONNEMENT","COMMUNICATION ET MARKETING","6 346 $ "
"3M CANADA .","976828","COUTURE, DIANE","INVENTAIRE PIÈCES DE REMPLACEMENT, POUR LES MAGASINS SCARM","SERVICE DE L'APPROVISIONNEMENT","COMMUNICATION ET MARKETING","4 894 $ "
"3M CANADA .","967887","BEZEAU, ANNA","INVENTAIRE, PIÈCES DE REMPLACEMENT POUR LES MAGASINS","SERVICE DE L'APPROVISIONNEMENT","COMMUNICATION ET MARKETING","4 114 $ "
"3M CANADA .","972709","MASSE, CAROLINE","INVENTAIRE PIÈCES DE REMPLACEMENT, POUR LES MAGASINS SCARM","SERVICE DE L'APPROVISIONNEMENT","COMMUNICATION ET MARKETING","3 146 $ "
"3M CANADA .","950933","TONTHAT, ALAIN","PROJET # 72500 - ACQUISITION D'ÉTIQUETTES TRANSLUCIDES RFID SELON SOUMISSION DU 18 MARS 2014","SERVICE DES TECHNOLOGIES DE L'INFORMATION","BIBLIOTHÈQUES","17 423 $ "
"4205006 CANADA INC.","976774","SAUVAGEAU, SYLVAIN","SERVICE - CONFÉRENCE DE PIERRE VERCHEVAL, 19 JUIN 2014, FACTURE #190614.","SERVICE DE POLICE DE LA VILLE DE MONTRÉAL","SURV. DE LA RÉGLEMENTATION DU STATIONNEMENT","4 148 $ "
"4378962 CANADA INC.","RMI0000978490001003900004","DÉTAILS PROVENANT DU SYSTÊME DE GESTION DES RÉCLAMATIONS","4378962 CANADA INC.\PAIEMENT D'UNE INDEMNITÉ POUR LE DOSSIER 14-000819, SUR LA LISTE DE PAIEMENT 1403IC010 (CORPO)","SERVICE DES AFFAIRES JURIDIQUES","AUTRES - ADMINISTRATION GÉNÉRALE","10 000 $ "
"4XL DISTRIBUTION INC.","917360","CHOQUET, JEAN-ROBERT","TRAVAUX APPLICATION OSACA","SERVICE DE LA QUALITÉ DE VIE","AUTRES - ACTIVITÉS CULTURELLES","9 502 $ "
"6060021 CANADA INC.","RMI0000927160000846720002","INTERFACE","6060021 CANADA INC.
PAIEMENT D'UNE INDEMNITÉ POUR LE DOSSIER 13-001557, SUR LA LISTE DE PAIEMENT 1308IC006 (CORPO)","SERVICE DES AFFAIRES JURIDIQUES ET DE L’ÉVALUATION FONCIÈRE","AUTRES - ADMINISTRATION GÉNÉRALE","5 250 $ "
"6125441 CANADA INC","914486","LACOMBE, PIERRE","CONTRAT DE SERVICES PROFESSIONNELS POUR LA PREMIÈRE PHASE D'IDÉATION DANS LE CADRE DES ÉVÉNEMENTS LORS DU CONGRÈS DE L'ASSOCIATION DES CENTRES DE SCIENCES CANANADIENS QUI SE TIENDRA AU PLANÉTARIUM RIO TINTO ALCAN DU 1ER AU 3 MAI 2014.","SERVICE DE LA QUALITÉ DE VIE","MUSÉES ET CENTRES D'EXPOSITION","4 000 $ "
"6551491 CANADA INC.","983374","SINCLAIR, NANCY","TOURNAGE DE QUATRE CAPSULES PUBLICITAIRES (15 SECONDES) RELATIVES À LA CHARTE DES DROITS ET RESPONSABILITÉS.","SERVICE DU GREFFE","CONSEIL ET SOUTIEN AUX INSTANCES POLITIQUES","22 550 $ "
"7081936 CANADA INC. (HEBERGEMENT WEB CANADA)","922207","JODOIN, LUC","TOR-ENTREPRISESERVICESWEBBIBLIO.WEB-DNS1.COM (2014-01-27 - 2015-01-26)","SERVICE DE LA QUALITÉ DE VIE","BIBLIOTHÈQUES","3 695 $ "
"7322046 CANADA INCORPORATED","908358","JODOIN, LUC","SUPPORT ANNUEL LOGICIEL SOFTGUARD DU 2014-01-01 AU 2014-12-31","SERVICE DE LA QUALITÉ DE VIE","BIBLIOTHÈQUES","18 205 $ "
