"3M CANADA","991378",,"INVENTAIRE PIÈCES DE REMPLACEMENT, POUR LES MAGASINS SCARM","SERVICE DE L'APPROVISIONNEMENT","COMMUNICATION ET MARKETING","7801,41",
"7873522 CANADA INC.","RMI0001020780001044210001",,"PAIEMENT D'UNE INDEMNITÉ POUR LE DOSSIER 14-003681, SUR LA LISTE DE PAIEMENT 1408IC010 (CORPO)","SERVICE DES AFFAIRES JURIDIQUES","AUTRES - ADMINISTRATION GÉNÉRALE","2500,00",
"9175-2998 QUÉBEC INC.","DIC752948",,"OUTILS GARAGE AUTORISÉ PAR MARC MASSÉ","SERVICE DU MATÉRIEL ROULANT ET DES ATELIERS","SOUT. MAT. ET TECH. - GESTION DES VÉHICULES ET ATELIERS MRA - À RÉPARTIR","3929,55",
"A & A VITRES ET MIROIRS INC.","6317",,"BC205144","SERVICE DE L'ESPACE POUR LA VIE","MUSÉES ET CENTRES D'EXPOSITION","6137,15",
"A.T. STORRS LTD.","SIP14567",,"PRODUITS POUR LA REVENTE","SERVICE DE L'ESPACE POUR LA VIE","MUSÉES ET CENTRES D'EXPOSITION","2016,24",
"ABBOTT OF ENGLAND 1981 LIMITED","0544289M",,"PRODUITS POUR LA REVENTE","SERVICE DE L'ESPACE POUR LA VIE","MUSÉES ET CENTRES D'EXPOSITION","2155,50",
"ACKLANDS - GRAINGER INC.","992482",,"POTENCE XTIRPA - CBT IN2210 - VOTRE SOUM. # Y983557","COMMISSION DES SERVICES ÉLECTRIQUES DE MONTRÉAL","AUTRES - AMÉN., URB. ET DÉVELOPPEMENT","2227,87",
"ADI-BURTEK","990485",,"PANNEAUX D'ALARME POUR METTRE EN INVENTAIRE; PEP ET APPEL DE SERVICE","SERVICE DE LA GESTION ET DE LA PLANIFICATION IMMOBILIÈRE","SOUT. MAT. ET TECH. - GESTION DES IMMEUBLES GPI - À RÉPARTIR","2592,77",
"AIGUISA-TECH INC.","925918",,"AIGUISAGE DE LAME OU COUTEAU POUR MENUISERIE","SERVICE DU MATÉRIEL ROULANT ET DES ATELIERS","SOUT. MAT. ET TECH. - GESTION DES VÉHICULES ET ATELIERS MRA - À RÉPARTIR","3111,32",
"ALBERT VIAU DIVISION EMCO CORPORATION","986054",,"1 ACCOUPLEMENT, RUPTURE, BORNE-FONTAINE, ITEM # 10 "" CONCORD PREMIER "" ET DAIGLE-D67M","SERVICE DE L'APPROVISIONNEMENT","TRAVAUX PUBLICS, AMÉNAGEMENT EXTÉRIEUR","34838,48",
